Starting up round ID Gem853-18.27.47.
-------------------------
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 94, 8))
ATTACK: Niconato/(Urima) has attacked Gabriel_do_drip/(gabriela rivergard) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (76, 70, 4))
ATTACK: Niconato/(Urima) has attacked [rat] with the sword (outdoors (76, 70, 4))
ATTACK: Niconato/(Urima) has attacked [rat] with the sword (outdoors (76, 70, 4))
ATTACK: Niconato/(Urima) has shaken Gabriel_do_drip[DC]/(gabriela rivergard) (NEWHP: 100)  (outdoors (76, 72, 4))
ATTACK: Niconato/(Urima) has shaken Gabriel_do_drip[DC]/(gabriela rivergard) (NEWHP: 100)  (outdoors (76, 72, 4))
ATTACK: Niconato/(Urima) has shaken Gabriel_do_drip[DC]/(gabriela rivergard) (NEWHP: 100)  (outdoors (76, 72, 4))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (rockhill basin (18, 88, 4))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (rockhill basin (18, 87, 4))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (rockhill basin (24, 87, 4))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (rockhill basin (24, 86, 4))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (rockhill basin (42, 86, 4))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (rockhill basin (42, 86, 4))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 91)  (rockhill basin (43, 85, 4))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (rockhill basin (43, 86, 4))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 62)  (rockhill basin (43, 85, 4))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 33)  (rockhill basin (43, 85, 4))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (rockhill basin (42, 84, 4))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 91)  (rockhill basin (43, 84, 4))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (rockhill basin (42, 84, 4))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 62)  (rockhill basin (43, 84, 4))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (rockhill basin (42, 84, 4))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 33)  (rockhill basin (43, 84, 4))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 4)  (rockhill basin (43, 84, 4))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (rockhill basin (42, 84, 4))
ATTACK: Niconato/(Urima) has thrown the sword (rockhill basin (31, 84, 4))
ATTACK: Niconato/(Urima) has threw and hit *no key*/(volf) with the sword (NEWHP: 0)  (rockhill basin (31, 84, 4))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 4)  (sewer (45, 93, 3))
ATTACK: *no key*/(volf) has attacked Niconato/(Urima) (NEWHP: 100)  (sewer (46, 93, 3))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 0)  (sewer (45, 102, 3))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 0)  (sewer (45, 102, 3))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 0)  (sewer (45, 102, 3))
ATTACK: Niconato/(Urima) has attacked *no key*/(volf) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 0)  (sewer (45, 102, 3))
ATTACK: Niconato/(Urima) has attacked Niconato/(Urima) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (119, 92, 4))
ATTACK: Niconato/(Urima) has attacked Niconato/(Urima) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (119, 92, 4))
ATTACK: Niconato/(Urima) has died (BRUTE: 120, BURN: 0, TOX: 0, OXY: 200, CLONE: 0) (outdoors (119, 92, 4))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (57, 58, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (58, 56, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (59, 55, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (64, 54, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (67, 57, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (71, 59, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (79, 61, 10))
