Starting up round ID Sherax558-20.05.57.
-------------------------
ATTACK: Niconato/(Urima) has attacked [wooden window] with the torch (wilderness (101, 22, 8))
ATTACK: Niconato/(Urima) has attacked [brazier] with the torch (wilderness (96, 27, 8))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (16, 102, 4))
ATTACK: TheGodGuy/(Aquila) has attacked *no key*/(skeleton) with kilij scimitar (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (15, 103, 4))
ATTACK: TheGodGuy/(Aquila) has attacked *no key*/(skeleton) with kilij scimitar (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (15, 102, 4))
ATTACK: TheGodGuy/(Aquila) has attacked *no key*/(skeleton) with kilij scimitar (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (15, 101, 4))
ATTACK: TheGodGuy/(Aquila) has attacked [brazier] with the kilij scimitar (rockhill basin (16, 98, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (16, 99, 4))
ATTACK: TheGodGuy/(Aquila) has attacked *no key*/(skeleton) with kilij scimitar (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (16, 101, 4))
ATTACK: TheGodGuy/(Aquila) has attacked *no key*/(skeleton) with kilij scimitar (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (16, 101, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (15, 101, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (16, 101, 4))
